date,course,lmsc,name,meet_id,meet_url,meet_uuid
"Feb 20-23, 2020",SCY,CT,2020 CONNECTICUT SWIMMING SENIOR CHAMPIONSHIP,20200223CTSrsY,https://www.usms.org/comp/meets/meet.php?MeetID=20200223CTSrsY,0c9bce07-7eba-4799-9645-b35f9764c5d1
"Feb 16, 2020",SCY,ST,Need for Speed,20200216001Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200216001Y,4730277f-bebc-476e-acfa-f2077ad77a72
"Feb 16, 2020",SCY,NI,Canandaigua Sawbellies Invitational Swim Meet,20200216Can20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200216Can20Y,354ddcc0-f6a4-4678-bf9a-efc13b46168c
"Feb 15, 2020",SCY,GU,Sweetheart Swim 2020,20200215SHSDCY,https://www.usms.org/comp/meets/meet.php?MeetID=20200215SHSDCY,b278a138-611a-4fe2-9925-d37c20ac6172
"Feb 15, 2020",LCM,OR,Miami Masters Swim Meet 2020,20200215MMSMAUL,https://www.usms.org/comp/meets/meet.php?MeetID=20200215MMSMAUL,5307ea97-29e9-4715-8e06-df2cfc9ccace
"Feb 14-16, 2020",SCY,KY,2020 Dare To Care,20200216DareCrY,https://www.usms.org/comp/meets/meet.php?MeetID=20200216DareCrY,328ce44f-5d96-4121-9fde-d2e6229f82ca
"Feb 9, 2020",SCY,WI,2020 Madison (WI) Area Masters SCY Swim Meet,20200209SUNPRY,https://www.usms.org/comp/meets/meet.php?MeetID=20200209SUNPRY,f534118f-f10e-4671-9344-374f151f495d
"Feb 9, 2020",SCY,NJ,2020 OCY Unofficial Masters Team Championships,20200209OCY20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200209OCY20Y,de711ed7-6adb-4850-a5f9-1239962ff7ca
"Feb 8-9, 2020",SCY,FL,28th Annual Masters SCY Valentine's Meet,20200208VALENTY,https://www.usms.org/comp/meets/meet.php?MeetID=20200208VALENTY,02a10c41-d476-466a-8bc4-747457255a07
"Feb 8-9, 2020",SCY,SP,Rose Bowl Masters SCY Meet,20200208RBSCYY,https://www.usms.org/comp/meets/meet.php?MeetID=20200208RBSCYY,a989bb57-6367-42e6-ba04-20b4856a4099
"Feb 8-9, 2020",SCY,NC,46th Annual Sunbelt Meet,20200208sun20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200208sun20Y,f252631f-dbc4-4748-92e0-523ae91dfc2f
"Feb 8, 2020",SCY,MD,Nancy Brown Memorial - Swim Series #5,20200208SPY5Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200208SPY5Y,4582249d-0833-45aa-8a94-3fa2ad7fe19b
